row_type,step,group,term,raw,reference,fulfillment,discounted_sum,fpl_score
perstep,9,orientation,orientation_rz,0.984124,1.000000,1.000000,,
perstep,9,height,torso_height,0.971680,0.900000,0.920356,,
perstep,9,posture,left_hip_pitch_joint,0.035792,0.000000,0.987571,,
perstep,9,posture,left_hip_roll_joint,0.003617,0.000000,0.998781,,
perstep,9,posture,left_hip_yaw_joint,-0.014631,0.000000,0.994694,,
perstep,9,posture,left_knee_joint,0.184473,0.000000,0.935942,,
perstep,9,posture,left_ankle_pitch_joint,-0.027703,0.000000,0.968255,,
perstep,9,posture,left_ankle_roll_joint,0.002116,0.000000,0.991918,,
perstep,9,posture,right_hip_pitch_joint,0.003005,0.000000,0.998957,,
perstep,9,posture,right_hip_roll_joint,-0.029896,0.000000,0.989924,,
perstep,9,posture,right_hip_yaw_joint,0.011867,0.000000,0.995697,,
perstep,9,posture,right_knee_joint,0.183627,0.000000,0.936236,,
perstep,9,posture,right_ankle_pitch_joint,-0.037027,0.000000,0.957571,,
perstep,9,posture,right_ankle_roll_joint,-0.000702,0.000000,0.997318,,
perstep,9,posture,waist_yaw_joint,0.038788,0.000000,0.985184,,
perstep,9,posture,waist_roll_joint,0.000355,0.000000,0.999318,,
perstep,9,posture,waist_pitch_joint,-0.031461,0.000000,0.939497,,
perstep,9,posture,left_shoulder_pitch_joint,0.134115,0.200000,0.979969,,
perstep,9,posture,left_shoulder_roll_joint,0.035452,0.200000,0.919791,,
perstep,9,posture,left_shoulder_yaw_joint,-0.040373,0.000000,0.984579,,
perstep,9,posture,left_elbow_joint,0.758412,1.280000,0.775873,,
perstep,9,posture,left_wrist_roll_joint,-0.015809,0.000000,0.991984,,
perstep,9,posture,left_wrist_pitch_joint,-0.000228,0.000000,0.999859,,
perstep,9,posture,left_wrist_yaw_joint,0.012303,0.000000,0.992379,,
perstep,9,posture,right_shoulder_pitch_joint,0.090916,0.200000,0.966836,,
perstep,9,posture,right_shoulder_roll_joint,-0.002346,-0.200000,0.903654,,
perstep,9,posture,right_shoulder_yaw_joint,0.023775,0.000000,0.990918,,
perstep,9,posture,right_elbow_joint,0.757838,1.280000,0.775626,,
perstep,9,posture,right_wrist_roll_joint,0.009622,0.000000,0.995121,,
perstep,9,posture,right_wrist_pitch_joint,0.002543,0.000000,0.998425,,
perstep,9,posture,right_wrist_yaw_joint,-0.004112,0.000000,0.997453,,
perstep,10,orientation,orientation_rz,0.982496,1.000000,1.000000,,
perstep,10,height,torso_height,0.967008,0.900000,0.925547,,
perstep,10,posture,left_hip_pitch_joint,0.029622,0.000000,0.989714,,
perstep,10,posture,left_hip_roll_joint,0.017509,0.000000,0.994099,,
perstep,10,posture,left_hip_yaw_joint,0.002311,0.000000,0.999162,,
perstep,10,posture,left_knee_joint,0.198842,0.000000,0.930953,,
perstep,10,posture,left_ankle_pitch_joint,-0.034279,0.000000,0.960720,,
perstep,10,posture,left_ankle_roll_joint,0.003994,0.000000,0.984745,,
perstep,10,posture,right_hip_pitch_joint,0.001112,0.000000,0.999614,,
perstep,10,posture,right_hip_roll_joint,-0.034268,0.000000,0.988451,,
perstep,10,posture,right_hip_yaw_joint,-0.002953,0.000000,0.998929,,
perstep,10,posture,right_knee_joint,0.197690,0.000000,0.931353,,
perstep,10,posture,right_ankle_pitch_joint,-0.041758,0.000000,0.952149,,
perstep,10,posture,right_ankle_roll_joint,0.001018,0.000000,0.996113,,
perstep,10,posture,waist_yaw_joint,0.030566,0.000000,0.988325,,
perstep,10,posture,waist_roll_joint,-0.014642,0.000000,0.971842,,
perstep,10,posture,waist_pitch_joint,-0.042017,0.000000,0.919198,,
perstep,10,posture,left_shoulder_pitch_joint,0.141509,0.200000,0.982217,,
perstep,10,posture,left_shoulder_roll_joint,0.034215,0.200000,0.919188,,
perstep,10,posture,left_shoulder_yaw_joint,-0.048379,0.000000,0.981520,,
perstep,10,posture,left_elbow_joint,0.653028,1.280000,0.730589,,
perstep,10,posture,left_wrist_roll_joint,-0.024757,0.000000,0.987447,,
perstep,10,posture,left_wrist_pitch_joint,0.008907,0.000000,0.994483,,
perstep,10,posture,left_wrist_yaw_joint,0.008258,0.000000,0.994885,,
perstep,10,posture,right_shoulder_pitch_joint,0.082664,0.200000,0.964327,,
perstep,10,posture,right_shoulder_roll_joint,-0.013418,-0.200000,0.909051,,
perstep,10,posture,right_shoulder_yaw_joint,-0.003306,0.000000,0.998737,,
perstep,10,posture,right_elbow_joint,0.654516,1.280000,0.731229,,
perstep,10,posture,right_wrist_roll_joint,-0.001745,0.000000,0.999115,,
perstep,10,posture,right_wrist_pitch_joint,0.006029,0.000000,0.996265,,
perstep,10,posture,right_wrist_yaw_joint,-0.010112,0.000000,0.993736,,
perstep,11,orientation,orientation_rz,0.978991,1.000000,1.000000,,
perstep,11,height,torso_height,0.964791,0.900000,0.928010,,
perstep,11,posture,left_hip_pitch_joint,0.021023,0.000000,0.992700,,
perstep,11,posture,left_hip_roll_joint,0.024863,0.000000,0.991620,,
perstep,11,posture,left_hip_yaw_joint,0.015122,0.000000,0.994516,,
perstep,11,posture,left_knee_joint,0.210196,0.000000,0.927010,,
perstep,11,posture,left_ankle_pitch_joint,-0.043340,0.000000,0.950336,,
perstep,11,posture,left_ankle_roll_joint,0.002257,0.000000,0.991379,,
perstep,11,posture,right_hip_pitch_joint,-0.001359,0.000000,0.999528,,
perstep,11,posture,right_hip_roll_joint,-0.038809,0.000000,0.986920,,
perstep,11,posture,right_hip_yaw_joint,-0.017447,0.000000,0.993673,,
perstep,11,posture,right_knee_joint,0.211072,0.000000,0.926706,,
perstep,11,posture,right_ankle_pitch_joint,-0.038994,0.000000,0.955317,,
perstep,11,posture,right_ankle_roll_joint,-0.003187,0.000000,0.987827,,
perstep,11,posture,waist_yaw_joint,0.025180,0.000000,0.990382,,
perstep,11,posture,waist_roll_joint,-0.026566,0.000000,0.948911,,
perstep,11,posture,waist_pitch_joint,-0.041071,0.000000,0.921017,,
perstep,11,posture,left_shoulder_pitch_joint,0.138914,0.200000,0.981428,,
perstep,11,posture,left_shoulder_roll_joint,0.041150,0.200000,0.922569,,
perstep,11,posture,left_shoulder_yaw_joint,-0.058989,0.000000,0.977468,,
perstep,11,posture,left_elbow_joint,0.557993,1.280000,0.689753,,
perstep,11,posture,left_wrist_roll_joint,-0.023712,0.000000,0.987977,,
perstep,11,posture,left_wrist_pitch_joint,0.016102,0.000000,0.990026,,
perstep,11,posture,left_wrist_yaw_joint,0.002132,0.000000,0.998680,,
perstep,11,posture,right_shoulder_pitch_joint,0.079299,0.200000,0.963304,,
